ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,INJ_SEV
10002,1,1,40,2,1,11,20,20,9,0,2,0,2,0,1,999,60,180,0,0,1,4,1,2,2,11,15,0,13,96,0,2,1,2020,5,17,2,12,1,1,1,3,2,3
10007,1,1,28,2,1,11,3,20,0,0,1,0,1,0,1,30,61,129,0,0,1,2,1,2,1,1,80,0,13,96,0,7,1,2020,3,19,2,8,3,2,1,3,1,0
10012,1,1,48,1,1,11,3,20,0,0,1,0,2,1,1,999,72,200,1,0,2,2,1,2,1,1,17,0,74,96,39,11,1,2020,7,21,2,12,2,2,1,3,1,0
10013,1,1,18,1,1,11,3,20,0,0,1,0,2,0,1,45,68,233,0,0,1,2,1,2,2,1,80,0,13,96,0,13,1,2020,2,22,2,8,1,1,1,2,10,2
10015,1,1,999,9,1,11,99,99,9,0,1,1,9,0,1,55,999,999,99,9,1,2,1,2,1,14,83,0,60,96,999,13,1,2020,2,17,2,9,1,1,1,3,10,0
10017,1,1,33,2,1,11,3,20,0,0,1,0,1,0,1,999,66,130,0,0,1,7,1,2,1,1,80,0,1,96,0,13,1,2020,2,21,2,8,3,4,1,3,1,0
10019,1,1,72,1,1,11,3,1,9,0,1,0,1,0,1,30,65,170,0,0,1,2,1,2,2,1,14,0,5,96,0,14,1,2020,3,1,2,3,1,1,5,3,2,4
10020,1,1,27,2,1,11,20,1,9,0,1,0,2,0,1,999,68,225,0,9,1,2,1,2,2,99,12,0,13,96,89,15,1,2020,4,16,2,42,1,1,4,5,1,4
10021,1,1,49,2,1,11,3,1,9,0,1,0,1,0,1,60,67,180,0,3,1,5,1,2,2,6,6,1,7,96,89,16,1,2020,5,6,2,12,3,2,1,4,5,4
10028,1,1,24,2,1,11,20,8,9,0,3,0,2,0,1,999,63,175,1,0,3,3,1,2,1,1,13,0,13,96,58,17,1,2020,6,11,2,42,1,1,4,1,1,3
10029,1,1,42,1,1,11,3,20,0,0,1,0,3,6,1,50,72,180,0,0,3,2,1,2,1,2,80,0,66,96,0,12,1,2020,1,17,2,8,1,1,1,2,10,0
10031,1,1,23,2,1,11,20,1,0,0,1,0,1,0,1,80,68,135,1,3,3,3,1,2,1,1,50,1,13,15,0,17,2,2020,2,18,2,12,1,1,1,2,10,4
10032,1,1,58,1,1,11,3,20,1,0,1,0,1,0,1,70,71,180,0,0,3,3,1,1,1,1,11,0,7,96,0,17,2,2020,2,10,2,14,1,1,2,1,10,4
10034,1,1,41,1,1,11,3,1,0,0,1,0,2,0,1,70,999,999,0,4,3,3,1,2,1,1,52,0,7,96,0,7,2,2020,6,19,2,12,1,1,1,2,1,2
10035,1,1,32,2,1,11,3,20,9,0,1,0,1,0,1,60,67,140,0,0,2,3,1,2,1,14,80,0,13,96,0,6,2,2020,5,19,2,8,18,1,1,3,1,0
10037,1,1,70,1,1,11,3,1,9,0,2,0,1,0,1,60,70,195,0,4,3,2,1,2,1,14,52,0,7,96,0,3,2,2020,2,8,2,12,18,1,1,1,1,2
10038,1,1,37,1,1,11,3,20,0,0,1,0,3,0,1,55,73,175,0,0,6,2,1,2,1,14,80,0,60,96,0,28,1,2020,3,18,2,8,5,1,1,3,1,0
10041,1,1,62,1,1,11,3,20,0,0,2,0,2,0,1,45,70,185,3,0,5,5,1,2,2,1,80,0,7,96,0,18,1,2020,7,23,2,8,1,1,1,3,2,0
10045,1,1,52,1,1,11,3,8,9,0,1,0,1,0,1,999,72,220,0,0,5,5,1,2,1,1,10,0,13,96,89,21,1,2020,3,7,2,12,1,1,1,1,1,3
